Slice,Mean
1,0.012590
2,0.012891
3,0.013096
4,0.013416
5,0.013790
6,0.014186
7,0.014650
8,0.014862
9,0.015142
10,0.015153
11,0.015453
12,0.015829
13,0.016456
14,0.016893
15,0.017463
16,0.018058
17,0.018725
18,0.019417
19,0.020118
20,0.020964
21,0.021932
22,0.023018
23,0.023953
24,0.024997
25,0.026297
26,0.027596
27,0.028999
28,0.030681
29,0.032666
30,0.034918
31,0.037073
32,0.039574
33,0.042124
34,0.044841
35,0.047535
36,0.050160
37,0.053031
38,0.056027
39,0.059347
40,0.062923
41,0.066607
42,0.070677
43,0.074816
44,0.079334
45,0.083844
46,0.088334
47,0.092932
48,0.097522
49,0.102413
50,0.107269
51,0.112316
52,0.117436
53,0.122677
54,0.128097
55,0.133356
56,0.138832
57,0.143998
58,0.148838
59,0.153164
60,0.157136
61,0.160802
62,0.164348
63,0.168290
64,0.171868
65,0.175507
66,0.178953
67,0.182137
68,0.185179
69,0.187996
70,0.190493
71,0.192629
72,0.194125
73,0.194853
74,0.195349
75,0.195590
76,0.195303
77,0.194427
78,0.193309
79,0.192220
80,0.190693
81,0.188746
82,0.186458
83,0.183756
84,0.180425
85,0.176720
86,0.172773
87,0.168845
88,0.164627
89,0.160400
90,0.155978
91,0.151516
92,0.146819
93,0.141592
94,0.136111
95,0.130539
96,0.124988
97,0.119494
98,0.114081
99,0.108783
100,0.103257
101,0.097718
102,0.092520
103,0.087480
104,0.082606
105,0.077706
106,0.072908
107,0.068367
108,0.063901
109,0.059604
110,0.055523
111,0.051829
112,0.048368
113,0.045107
114,0.041951
115,0.039072
116,0.036338
117,0.033863
118,0.031658
119,0.029654
120,0.027935
121,0.026396
122,0.024803
123,0.023416
124,0.022197
125,0.021093
126,0.020051
127,0.019144
128,0.018414
129,0.017781
130,0.017288
131,0.016801
132,0.016382
133,0.015914
134,0.015469
135,0.015091
136,0.014761
137,0.014374
138,0.014045
139,0.013874
140,0.013730
141,0.013559
142,0.013414
143,0.013285
144,0.013160
145,0.013025
146,0.012945
147,0.012881
148,0.012892
149,0.012917
150,0.012864
