Slice,Mean
1,0.013605
2,0.013925
3,0.014188
4,0.014556
5,0.015001
6,0.015409
7,0.015925
8,0.016108
9,0.016396
10,0.016532
11,0.016929
12,0.017511
13,0.018196
14,0.018710
15,0.019362
16,0.019917
17,0.020678
18,0.021431
19,0.022289
20,0.023431
21,0.024683
22,0.026008
23,0.027273
24,0.028540
25,0.030071
26,0.031755
27,0.033588
28,0.035830
29,0.038278
30,0.041081
31,0.043930
32,0.047049
33,0.050417
34,0.053936
35,0.057821
36,0.061875
37,0.066239
38,0.070690
39,0.075369
40,0.080168
41,0.085052
42,0.090160
43,0.095453
44,0.100913
45,0.106795
46,0.112741
47,0.118912
48,0.125211
49,0.131393
50,0.137457
51,0.143165
52,0.148590
53,0.153985
54,0.159310
55,0.164388
56,0.169425
57,0.174297
58,0.179146
59,0.183918
60,0.188619
61,0.193542
62,0.198536
63,0.203892
64,0.208849
65,0.213503
66,0.217738
67,0.221911
68,0.225675
69,0.228691
70,0.231597
71,0.233927
72,0.234952
73,0.234550
74,0.233068
75,0.230796
76,0.227472
77,0.223216
78,0.218404
79,0.213097
80,0.206807
81,0.200074
82,0.193159
83,0.186320
84,0.179672
85,0.173077
86,0.166859
87,0.161186
88,0.156005
89,0.150873
90,0.145958
91,0.141229
92,0.136229
93,0.130843
94,0.125526
95,0.120175
96,0.114872
97,0.109630
98,0.104507
99,0.099524
100,0.094411
101,0.089201
102,0.084468
103,0.079881
104,0.075416
105,0.071169
106,0.067090
107,0.063409
108,0.059620
109,0.055780
110,0.052129
111,0.048836
112,0.045795
113,0.042904
114,0.040036
115,0.037415
116,0.035139
117,0.033218
118,0.031368
119,0.029506
120,0.027906
121,0.026382
122,0.024962
123,0.023517
124,0.022219
125,0.021175
126,0.020178
127,0.019326
128,0.018614
129,0.017924
130,0.017435
131,0.017063
132,0.016733
133,0.016336
134,0.015952
135,0.015579
136,0.015251
137,0.014960
138,0.014768
139,0.014525
140,0.014427
141,0.014273
142,0.014085
143,0.013982
144,0.013795
145,0.013728
146,0.013744
147,0.013628
148,0.013483
149,0.013382
150,0.013299
