Slice,Mean
1,-0.01160
2,-0.00790
3,-0.00623
4,-0.00380
5,-0.00066
6,-0.00147
7,0.01060
8,0.02060
9,0.03415
10,0.04795
11,0.05941
12,0.09294
13,0.11993
14,0.15449
15,0.20006
16,0.24404
17,0.30694
18,0.37991
19,0.43559
20,0.48198
21,0.50592
22,0.52017
23,0.52975
24,0.53148
25,0.54218
26,0.55402
27,0.57240
28,0.60519
29,0.63268
30,0.67901
31,0.72450
32,0.78386
33,0.84517
34,0.88899
35,0.97004
36,1.04288
37,1.14020
38,1.22999
39,1.28429
40,1.37894
41,1.44870
42,1.51945
43,1.57088
44,1.60172
45,1.63368
46,1.64154
47,1.63842
48,1.60249
49,1.56708
50,1.49142
51,1.41109
52,1.33207
53,1.23738
54,1.15367
55,1.06826
56,0.99218
57,0.94327
58,0.88968
59,0.85272
60,0.80062
61,0.75292
62,0.72208
63,0.67971
64,0.64331
65,0.60339
66,0.55776
67,0.52655
68,0.48095
69,0.44668
70,0.40520
71,0.35980
72,0.33626
73,0.29065
74,0.25940
75,0.22470
76,0.19702
77,0.17716
78,0.15491
79,0.13525
80,0.11642
81,0.09941
82,0.08758
83,0.07708
84,0.06934
85,0.05855
86,0.04924
87,0.04547
88,0.04049
89,0.03430
90,0.03152
91,0.03602
92,0.03340
93,0.03486
94,0.03359
95,0.03249
96,0.03168
97,0.03030
98,0.02935
99,0.03304
100,0.03231
