Slice,Mean
1,2.4257
2,3.0146
3,3.8340
4,5.0061
5,6.5926
6,8.3384
7,11.7716
8,16.3670
9,21.7655
10,26.9577
11,30.1018
12,32.7277
13,33.0453
14,32.8534
15,32.1803
16,31.3217
17,30.8601
18,31.3431
19,32.1427
20,33.4393
21,34.2658
22,35.4903
23,36.4470
24,37.4297
25,39.0695
26,39.9181
27,42.3837
28,44.1680
29,45.1809
30,46.5970
31,47.5135
32,48.7270
33,49.7290
34,50.3596
35,51.0945
36,52.0062
37,51.8325
38,51.9386
39,52.4138
40,52.5191
41,53.1165
42,53.2663
43,53.9368
44,53.8872
45,53.3668
46,53.1881
47,51.4943
48,50.1705
49,47.6494
50,45.0045
51,40.5012
52,36.1951
53,32.7341
54,29.4775
55,26.8593
56,24.5449
57,23.0062
58,21.4668
59,20.2553
60,18.5642
61,16.6535
62,15.6186
63,13.7492
64,12.5044
65,11.1903
66,9.8559
67,9.1819
68,8.2296
69,7.6480
70,7.0994
71,6.7793
72,6.6725
73,6.6354
74,6.8506
75,7.2544
76,7.6963
77,8.0227
78,8.1526
79,8.0101
80,7.5424
81,6.8238
82,6.2146
83,5.0765
84,4.1566
85,3.3522
86,2.6886
87,2.2371
88,1.7817
89,1.3919
90,1.1961
91,1.0056
92,0.8866
93,0.7532
94,0.6544
95,0.5876
96,0.5224
97,0.4742
98,0.4261
99,0.3739
100,0.3497
