Slice,Mean
1,0.49355
2,0.54508
3,0.60505
4,0.68234
5,0.77459
6,0.83435
7,0.94575
8,1.06032
9,1.18993
10,1.33519
11,1.45044
12,1.64227
13,1.84529
14,2.04587
15,2.27817
16,2.49351
17,2.78248
18,3.13869
19,3.44774
20,3.80120
21,4.13717
22,4.57086
23,5.08956
24,5.50696
25,6.02562
26,6.42897
27,7.01156
28,7.53428
29,7.83780
30,8.25846
31,8.53533
32,8.83410
33,9.02551
34,9.02643
35,9.11361
36,9.03811
37,8.97281
38,8.88834
39,8.74645
40,8.59406
41,8.41714
42,8.27193
43,8.11749
44,8.02917
45,7.92366
46,7.83879
47,7.76558
48,7.72575
49,7.69196
50,7.59080
51,7.51390
52,7.40838
53,7.22485
54,7.07750
55,6.80369
56,6.50305
57,6.24498
58,5.88762
59,5.59894
60,5.19550
61,4.81680
62,4.55624
63,4.15472
64,3.87459
65,3.52499
66,3.22110
67,3.01502
68,2.69808
69,2.46924
70,2.20389
71,1.94176
72,1.80326
73,1.55442
74,1.37631
75,1.19123
76,1.03000
77,0.94103
78,0.78979
79,0.69227
80,0.59650
81,0.51087
82,0.45154
83,0.38538
84,0.33560
85,0.28588
86,0.25037
87,0.22390
88,0.19482
89,0.16423
90,0.14748
91,0.13181
92,0.12633
93,0.10396
94,0.09510
95,0.08404
96,0.07961
97,0.06949
98,0.05917
99,0.05391
100,0.04900
