Slice,Mean
1,0.04534
2,0.06097
3,0.08256
4,0.12257
5,0.17235
6,0.20401
7,0.25393
8,0.29915
9,0.34569
10,0.38898
11,0.41308
12,0.43775
13,0.44751
14,0.46598
15,0.48880
16,0.53219
17,0.60057
18,0.65844
19,0.67867
20,0.66076
21,0.62943
22,0.59815
23,0.60506
24,0.62094
25,0.64803
26,0.68016
27,0.70614
28,0.72698
29,0.72040
30,0.71189
31,0.72229
32,0.73566
33,0.74993
34,0.75988
35,0.77602
36,0.77964
37,0.76984
38,0.76828
39,0.75990
40,0.77028
41,0.78154
42,0.81768
43,0.85283
44,0.88122
45,0.93997
46,0.96598
47,0.98472
48,0.98410
49,0.96918
50,0.94026
51,0.90437
52,0.86255
53,0.81452
54,0.75959
55,0.70402
56,0.64817
57,0.60472
58,0.55940
59,0.52110
60,0.46416
61,0.40246
62,0.36505
63,0.31768
64,0.28798
65,0.25954
66,0.23495
67,0.22299
68,0.20343
69,0.18928
70,0.16545
71,0.14620
72,0.13275
73,0.10438
74,0.08369
75,0.06213
76,0.04409
77,0.03424
78,0.02160
79,0.01285
80,0.00635
81,0.00053
82,-0.00260
83,-0.00695
84,-0.00932
85,-0.01206
86,-0.01409
87,-0.01506
88,-0.01645
89,-0.01628
90,-0.01698
91,-0.01667
92,-0.01706
93,-0.01767
94,-0.01877
95,-0.02059
96,-0.02162
97,-0.02244
98,-0.02432
99,-0.02575
100,-0.02688
